speaker,date,document,source_url,classical_episode,likely_channel,rhetorical_use,notes,record_status,use_primary,verification_status
Thomas Jefferson,ca. 4 Oct 1809,List of Recommended Books,https://founders.archives.gov/documents/Jefferson/03-01-02-0453-0002,N/A -- source recommendation,Recommends Barthélemy's Anacharsis directly; owned per Sowerby catalog #41,,"Confirms Anacharsis as a text Jefferson actively recommended for a course of study, not just owned",active_evidence,uncoded,primary_documentary_edition
Destutt de Tracy (via Du Pont de Nemours to Jefferson),14 Apr 1812,Letter to Thomas Jefferson,https://founders.archives.gov/documents/Jefferson/03-04-02-0500,Solon / pragmatic lawgiving (same maxim as Federalist 38),Plutarch via Montesquieu-commentary tradition,Aspirational,"Same 'best laws they would receive' Solon maxim as Federalist 38, arriving via a different route (French Montesquieu-commentary tradition) -- good comparative pair",active_evidence,aspirational,primary_documentary_edition
James Madison,Apr-Jun 1786,Notes on Ancient and Modern Confederacies,https://founders.archives.gov/documents/Madison/01-09-02-0001,"Amphictyonic, Achaean, Lycian confederacies (survey)",Félice's Code de l'humanité (explicit primary source per Madison's own citations),Cautionary,Base research document for Federalist 18-20; Madison procured '2 trunks of books' from Europe via Jefferson specifically for this research,active_evidence,cautionary,primary_documentary_edition
Thomas Jefferson,1 Nov 1817,Letter to John Quincy Adams,https://founders.archives.gov/documents/Jefferson/03-12-02-0120,"Solon vs. Lycurgus (law fit to citizens, or citizens fit to law)","Plutarch, Life of Solon",Analytical/comparative,Post-founding but shows sustained use of the Solon/Lycurgus contrast as a general policy framework (applied here to weights and measures),active_evidence,analytical,primary_documentary_edition
Alexander Hamilton,3 Sep 1780,Letter to James Duane,https://founders.archives.gov/documents/Hamilton/01-02-02-0838,"Grecian republics / leagues, disunity","General classical education, pre-dates Madison's 1786 research entirely",Cautionary,MAJOR: predates Federalist 18 by 7 years and Madison's confederacy notes by 6 -- Hamilton already had this argument fully formed in 1780,active_evidence,cautionary,primary_documentary_edition
Alexander Hamilton (attrib.),26 Feb 1787,"NY Assembly, Remarks on an Act Granting to Congress Certain Powers",https://founders.archives.gov/documents/Hamilton/01-04-02-0030,Achaean League / Roman conquest by division,Likely same source stream as the 1780 Duane letter,Cautionary,"Pre-Convention, pre-Federalist use of the same 'divide and conquer' confederacy argument",active_evidence,cautionary,primary_documentary_edition
Alexander Hamilton,18 Jun 1787,Constitutional Convention speech notes,https://founders.archives.gov/documents/Hamilton/01-04-02-0098-0002,"Athens as 'arbiter of Greece' 73 years (via Demosthenes), then Sparta, then Thebes","Demosthenes, cited directly by name",Neutral/analytical -- convention-floor argument,"CONVENTION-FLOOR source, not just published Federalist rhetoric -- direct evidence of classical material used live in the room on 18 June 1787",active_evidence,analytical,primary_documentary_edition
William Tudor,26 Sep 1774,Letter to John Adams,https://founders.archives.gov/documents/Adams/06-02-02-0051,Grecian Republics (general) vs. Spartan virtue,General classical education,Aspirational,EARLIEST entry in the register -- predates the Declaration of Independence. 'The American Colonies rival in Patriotism and Heroism the most celebrated of the Grecian Republics',active_evidence,aspirational,primary_documentary_edition
John Adams,27 Sep 1808,Letter to Benjamin Rush,https://founders.archives.gov/documents/Adams/99-02-02-5258,"Demosthenes' persecution and death, paired with Cicero",Classical tradition,"Cautionary but generalized (corruption of a people, not specifically democratic flaw)",Same pattern as the Aristides/ostracism letter to Rush -- Adams uses a Greek example to make a universal claim about virtue and corruption,active_evidence,cautionary,primary_documentary_edition
John Adams,12 Apr 1808,Review of James Hillhouse's Propositions,https://founders.archives.gov/documents/Adams/99-02-02-5237,The Thirty Tyrants of Athens (paired with Roman Decemvirs),"Classical tradition, tied to Adams's lifelong tripartite-government theory",Cautionary,"First real Thirty Tyrants citation found -- used specifically for Adams's recurring monarchy/aristocracy/democracy balance argument, not in the core 1787-88 debates",active_evidence,cautionary,primary_documentary_edition
John Quincy Adams,4 May 1798,Letter to Abigail Adams,https://founders.archives.gov/documents/Adams/04-13-02-0004,Rumor of Napoleon 'reestablishing the Grecian Republics',"Contemporary news/speculation, not classical text",Aspirational (as live political hope),Shows sustained American interest in Greece's political fate outside the founding-document context -- links toward the later Philhellenism period,active_evidence,aspirational,primary_documentary_edition
Lafayette,1 Jul 1821,Letter to Thomas Jefferson,https://founders.archives.gov/documents/Jefferson/03-17-02-0277,"Greek War of Independence, hope for 'Grecian Republics'",Contemporary political events,Aspirational,Direct link to the actual Greek War of Independence and American Philhellenism -- outside this book's core scope but worth a footnote connecting to that adjacent story,active_evidence,aspirational,primary_documentary_edition
[unresolved: no hits],,Graphe paranomon -- targeted search,,Legal indictment procedure for illegal/unconstitutional decrees,,ABSENT,"Zero founding-era hits. This was Athens's actual institutional check against rash Assembly legislation -- directly relevant to Federalist 55's mob-rule fear, and apparently never investigated by any Founder, including Madison, who elsewhere shows real capacity for careful institutional research.",bounded_no_hit,bounded_no_hit,bounded_search_result
[unresolved: no hits],,Liturgy system / trierarchy -- targeted search,,"Wealthy citizens' obligation to personally fund public services (warships, festivals)",,ABSENT,Zero founding-era hits (one false positive: a 1806 Jefferson book-list mentioning an unrelated 'Mohawk liturgy'). Weaker relevance to the core founding debate than the other three absences; flagged for completeness.,bounded_no_hit,bounded_no_hit,bounded_search_result
James Madison (published as Publius),1 Mar 1788,Federalist No. 63,https://founders.archives.gov/documents/Madison/01-10-02-0312,Ancient representative government / Solon / 'most pure democracies of Greece',Traces to Madison's own confederacy research memoranda (per Founders Online editorial note),"Mixed -- concedes ancient representation, then narrows the democracy/republic distinction","Concedes ancient Greek democracies used elected officers for executive functions, complicating Federalist 10's cleaner binary; narrows the 'true distinction' to 'total exclusion of the people in their collective capacity.' Athens credited with representation here but excluded from the essay's later list of stable, long-lived republics (Sparta, Rome, Carthage).",active_evidence,mixed,primary_documentary_edition
"Brutus (attrib. Robert Yates, or Melancton Smith per contested recent scholarship)",18 Oct 1787,Brutus No. 1,https://constitution.org/1-Constitution/afp/brutus01.htm,Grecian and Roman republics -- small-republic argument,"Montesquieu, cited directly by name","Cautionary (re: consolidation/expansion, not disunion)","Published weeks before Federalist 10; uses same Greek/Roman decline pattern as Federalist 18-20 but draws opposite lesson -- expansion and consolidation destroy liberty, not disunion. Likely the essay Federalist 10 is directly answering.",active_evidence,cautionary,digital_primary_text
Brutus,Nov 1787,Brutus No. 3,https://wisc.pb.unizin.org/ls261/chapter/ch-1-7-antifederalists-brutus-iii-1787/,"N/A -- prediction about elected representatives, not a classical citation",N/A (independent practical reasoning),Cautionary (re: elected 'natural aristocracy'),"Predicts wide-district election will systematically produce a wealthy, well-connected 'natural aristocracy' and exclude ordinary farmers -- independently arrives at the same conclusion Montesquieu's lot/election distinction (Ch. 4) would predict, without citing it.",active_evidence,cautionary,working_digital_source
"Federal Farmer (attrib. contested: R.H. Lee, Melancton Smith, or Elbridge Gerry)",31 Dec 1787,Letter VII,https://tenthamendmentcenter.com/2022/12/29/federal-farmer-representation-isnt-sufficient/,N/A -- taxonomy of aristocratic vs. democratic orders in society,N/A (independent practical reasoning),Cautionary (re: elected 'natural aristocracy'),"Distinguishes 'aristocratic faction,' 'natural aristocracy' (~4,000-5,000 officeholders), and 'natural democracy' (ordinary citizens) -- same democracy/aristocracy vocabulary as Montesquieu, applied to predict who wide-district election will actually select.",active_evidence,cautionary,working_digital_source
Patrick Henry,Jun 1788,Virginia Ratifying Convention speech,"N/A -- quoted via secondary source (Alexander Hamilton Society journal), primary text not yet directly verified against Elliot's Debates","Ancient Greece and Rome -- loss of liberty through pursuit of 'grandeur, power, and splendor'",Likely general classical education,"Cautionary (re: internal ambition, not external conquest)","Names the culprit as internal ambition ('the ambition of a few') exploiting popular carelessness, not foreign conquest -- shifts emphasis toward elite capture rather than mob instability.",active_evidence,cautionary,secondary_or_pending_primary_check
George Mason,Jun 1788,Virginia Ratifying Convention speech,"N/A -- quoted via secondary source, primary text not yet directly verified against Elliot's Debates","Small-republic principle (general, no specific episode named)",Montesquieu (general),Cautionary,"'It is ascertained by history that popular Governments can only exist in small territories' -- direct echo of Brutus No. 1 and Montesquieu, delivered on the Virginia convention floor rather than in a New York pamphlet.",active_evidence,cautionary,secondary_or_pending_primary_check
James Madison (w/ Hamilton),8 Dec 1787,Federalist No. 19,https://avalon.law.yale.edu/18th_century/fed19.asp,Swiss cantons -- dismissed as not a real confederacy,"N/A (contemporary, not classical)",Cautionary (via pre-emptive dismissal),'The connection among the Swiss cantons scarcely amounts to a confederacy; though it is sometimes cited as an instance of the stability of such institutions.' Pre-empts a live 500-year-old counter-example in one line; no confirmed direct Anti-Federalist rebuttal located despite targeted search.,active_evidence,cautionary,scholarly_or_documentary_transcription
James Madison (w/ Hamilton),7 Dec 1787,Federalist No. 18 -- expanded detail,https://founders.archives.gov/documents/Madison/01-10-02-0193,"Amphictyonic Council collapse via Philip of Macedon's bribery of 'popular leaders'; Achaean League's comparative success (shared laws/coinage/weights, citing Abbe Mably)",Felice's Code de l'humanite + Abbe Mably's Observations sur la Grece,"Cautionary, but comparative rather than blanket -- tighter union fared measurably better than loose alliance",Institutionally specific: Madison distinguishes the two leagues' outcomes rather than treating 'ancient Greek confederacy' as one undifferentiated failure. No evidence found that any Anti-Federalist engaged this specific comparative claim -- Brutus's response operates at a more general level entirely.,active_evidence,cautionary,primary_documentary_edition
[unresolved: no hits],,Arginusae generals' trial -- targeted search (two independent passes),,"Trial and execution of six generals after the Battle of Arginusae, 406 BC",,ABSENT (from both Federalist and Anti-Federalist material),"Zero founding-era hits under 'Arginusae' or 'Athenian generals' + storm/trial/execution terms. Notable because this episode should have been an unusually strong illustration of Federalist 55's mob-rule thesis, yet neither side used it -- likely because its primary sources (Xenophon's Hellenica, Plato's Apology) fell outside the Rollin/Plutarch channels that actually delivered most classical material to the founding generation.",bounded_no_hit,bounded_no_hit,bounded_search_result
James Madison (published as Publius),1 Mar 1788,Federalist No. 63 -- 'bitter anguish' passage,https://guides.loc.gov/federalist-papers/text-61-70,"Unnamed lament for a safeguard Athens is said to have lacked, against 'the tyranny of their own passions'","N/A (rhetorical, no specific source named)",Cautionary,"Never names ostracism, the graphe paranomon, or any specific episode -- but the sentiment directly anticipates what ostracism/the graphe paranomon could have provided. Assumes Athens lacked such a safeguard without evidence Madison checked whether it existed.",active_evidence,cautionary,scholarly_or_documentary_transcription
A [Maryland] Farmer,1788,Essay No. 5,https://www.constitution.org/1-Constitution/afp/md_farmer.htm,Swiss cantons (500 years of stable popular government); general warning against concentrating power in fewer hands,N/A (contemporary example + general reasoning),Aspirational (Swiss model) / Cautionary (re: elite concentration),"CORRECTS earlier reported gap: direct Anti-Federalist praise of Switzerland, answering Federalist 19. Also asks directly: if representatives fail, 'shall they devolve this power on a still smaller number, who must be more liable to corruption from the encrease of temptation?'",active_evidence,mixed,digital_primary_text
Thomas Jefferson,22 Mar 1801,Letter to Nathaniel Niles,https://founders.archives.gov/documents/Jefferson/01-33-02-0346,"Montesquieu's small-republic doctrine, rejected by name","Montesquieu, cited directly and rejected",Aspirational (for the large-republic/American model) / explicit rejection of the classical-derived doctrine,"'The falsehood of Montesquieu's doctrine, that a republic can be preserved only in a small territory... the reverse is the truth.' Shows the Federalist break from Montesquieu on republican scale became explicit and self-aware by 1801, where Federalist 10 itself never named Montesquieu directly.",active_evidence,aspirational,primary_documentary_edition
"Cato (attrib. George Clinton, contested)",25 Oct 1787,Cato III,https://antifederalism.org/papers/cato/cato3/,"Montesquieu's small-republic doctrine, quoted at length","Montesquieu, quoted nearly verbatim",Cautionary,"Reproduces Montesquieu's small-republic passage almost word-for-word, nearly identical to Brutus's citation of the same text -- confirms modern scholarship's claim that both writers quoted Montesquieu 'in their entirety,' not from general impression.",active_evidence,cautionary,digital_primary_text
Alexander Hamilton,21 Nov 1787,Federalist No. 9,https://founders.archives.gov/documents/Hamilton/01-04-02-0162,Lycia -- Montesquieu's own praised example of a successful confederate republic,Montesquieu (a different passage than the one Anti-Federalalists cited against the Constitution),Aspirational (re: confederate structure),"Answers the Anti-Federalist Montesquieu challenge by working WITHIN Montesquieu's framework (the confederate-republic exception) rather than rejecting his small-republic conclusion outright, as Federalist 10 does a week later. Two Federalist essays, one week apart, take two different tactical approaches to the same citation.",active_evidence,aspirational,primary_documentary_edition
John Adams,1787,"A Defence of the Constitutions, vol. I, Letter XLI",https://constitution.org/2-Authors/jadams/ja1_41.htm,Cleisthenes / constitutional change after the expulsion of Hippias,Adams's historical synthesis; immediate sub-source not assigned here,Cautionary -- Cleisthenes recast as a factional leader who uses the popular assembly for political ascendancy,Direct primary-text evidence that Adams knew and named Cleisthenes. The record is used to distinguish demonstrated knowledge from later political activation.,active_evidence,cautionary,digital_primary_text
John Adams,1787,"A Defence of the Constitutions, vol. I, Letter XLI",https://constitution.org/2-Authors/jadams/ja1_41.htm,"Sortition / archons, Council of Five Hundred, epistates, jurors",Adams's historical synthesis; immediate sub-source not assigned here,Neutral/institutional description within a cautionary constitutional argument,Adams explicitly describes several Athenian offices and juries as appointed by lot. This establishes knowledge of sortition without showing that it became a serious American design proposal.,active_evidence,cautionary,digital_primary_text
John Adams,1787,"A Defence of the Constitutions, vol. I, Letter XLI",https://constitution.org/2-Authors/jadams/ja1_41.htm,Civic pay / payment for Assembly attendance and jury service,Adams's historical synthesis; immediate sub-source not assigned here,Neutral/institutional description,"Adams states that public payment enabled poorer citizens to attend civic business and that jurors were paid. The evidence establishes knowledge, not endorsement as an American model.",active_evidence,analytical,digital_primary_text
John Adams,1787,"A Defence of the Constitutions, vol. I, Letter XLI",https://constitution.org/2-Authors/jadams/ja1_41.htm,"Council agenda control, rotating presiding offices, nomothetai, defenders of existing law, Areopagus and penalties for defective legislation",Adams's historical synthesis; immediate sub-source not assigned here,Mixed -- recognizes extensive institutional checks while arguing that they were insufficient without independent balancing powers,Direct evidence that Adams understood Athens as institutionally structured rather than as an unmediated crowd. The description is filtered through his mixed-government argument.,active_evidence,mixed,digital_primary_text
Anonymous,1776,The People the Best Governors,https://press-pubs.uchicago.edu/founders/documents/v1ch11s8.html,Athenian legislature / participation of ordinary tradesmen,Immediate classical source not established; pamphlet uses Athens as a political exemplar,Aspirational -- ordinary Athenian participation used to defend popular self-government,Positive counterexample to claims that founding-era Athens functioned only as an antimodel. The fuller Athenian passage is also discussed by Jennifer Tolbert Roberts.,active_evidence,aspirational,scholarly_or_documentary_transcription
Thomas Paine,1792,"Rights of Man, Part II",https://www.ushistory.org/paine/rights/c2-03.htm,Athens as democracy; representation as an improvement on simple democracy,Paine's political-theoretical use of Athens; immediate classical source not assigned,Mixed/aspirational -- praises Athens while arguing that representation improves and scales democracy,"Paine writes that what Athens was in miniature America would be in magnitude, while explicitly preferring representative democracy to simple democracy.",active_evidence,mixed,digital_primary_text
James Wilson,24 Nov 1787,Pennsylvania Ratifying Convention speech,https://press-pubs.uchicago.edu/founders/documents/a1_2_3s7.html,Lycian Confederacy / proportional votes and common magistracy,"Montesquieu, Spirit of the Laws, Book IX, ch. 3, citing Strabo Book XIV",Aspirational / institutional comparison,Uses Lycia to discuss proportional representation and common appointment of magistrates in a confederate republic; explicitly names Montesquieu and Strabo.,active_evidence,aspirational,scholarly_documentary_edition
Luther Martin,29 Nov 1787,Genuine Information / Maryland House of Delegates,https://en.wikisource.org/wiki/The_Records_of_the_Federal_Convention_of_1787/Volume_3/Appendix_A/CLVIII,Amphictyonic Confederation / equal city representation,Classical/confederacy historical tradition; source not established,Aspirational for equal state suffrage / Anti-Federalist constitutional analogy,Invokes equal votes among Amphictyonic cities to defend equal representation of states in the federal system.,active_evidence,aspirational,scholarly_documentary_transcription
Oliver Ellsworth,4 Jan 1788,Connecticut Ratifying Convention opening speech,https://teachingamericanhistory.org/document/oliver-ellsworth-and-william-samuel-johnson-speeches-in-the-connecticut-convention/,Ancient Rome / neighboring divided states,General classical-historical example; source not established,Cautionary / union argument,Uses the neighboring states subdued by ancient Rome as an example of the vulnerability of divided polities.,active_evidence,cautionary,primary_transcription_elliot
Christopher Gore,15 Jan 1788,Massachusetts Ratifying Convention debate,https://press-pubs.uchicago.edu/founders/documents/a1_2_1s13.html,Athenian Epistates / short tenure by rotation,Montesquieu / ancient-government comparison,Analytical then dismissive,Identifies the Athenian Epistates while arguing that ancient examples of short tenure do not map directly onto the proposed representative system.,active_evidence,analytical,scholarly_documentary_edition
